company_brand,founded,headquarter,sector,what_it_does,investor,amount($),stage,year,stage_of_startup
Jade Forest,2016,Delhi,Transport,"NATURALLY THE BEST From zero artificial ingredients in our drinks to the way they make you feel, we bring you a bespoke range of natural mixers.",Mumbai Angels Network,250000.0,Seed,2020,Early Stage
iKure,2010,Kolkata,Health,iKure is a social enterprise that delivers primary healthcare and wellness & prevention services to communities in India,"Ratan Tata, Inflection Point Ventures, Ankur Mittal",3000000.0,Venture - Series Unknown,2020,Established
FrontRow,2016,Bangalore,Education,"Comprehensive courses, taught by idols.","Lightspeed, Elevation, Deepika Padukone",3200000.0,Seed,2020,Early Stage
Reliance Retail,2006,Mumbai,Commerce,Reliance Retail Ventures Limited is a subsidiary company of Reliance Industries Limited.,"Abu Dhabi Investment Authority, GIC",10000000.0,Venture - Series Unknown,2020,Established
TUBBR,2019,Frisco,Media & Entertainment,World's First Personal Social Network,Global Ascent Partners,3000000.0,Venture - Series Unknown,2020,Early Stage
Ather Energy,2013,Bangalore,Technology,Ather Energy is a manufacturer of electric scooters.,HeroMotoCorp Ltd and Sachin Bansal,35000000.0,Series D,2020,Established
Routematic,2007,Bangalore,Technology,Vision is to enable a safer and more comfortable commute to work for employees of India Inc.,"VAMM Ventures, Naresh Malhotra",2000000.0,Venture - Series Unknown,2020,Established
LivFin,2017,New Delhi,Technology,LivFin is a non-banking financial company registered with the Reserve Bank of India (RBI),"DEG, KFW DEG",4700000.0,Venture - Series Unknown,2020,Early Stage
Universal Sportsbiz Pvt Ltd,2012,Bangalore,Beauty & Fashion,A fashion startup based in Bengaluru.,"Accel, Alteria Capital",3000000.0,Venture - Series Unknown,2020,Established
Lattu Kids,2017,Mumbai,Education,Lattu kids is an edutainment platform for preschool kids.,Mumbai Angels Network,3000000.0,Venture - Series Unknown,2020,Early Stage
Eggoz,2016,Indore,Transport,"Eggoz is a brand of fresh and chemical-free eggs, produced in tech-enabled & nutrition-engineered deep integration partnership with farmers.","AVANA Capital, Rebright Partners",1500000.0,Pre-series A,2020,Early Stage
Steradian Semiconductors,2016,Bangalore,Technology,Semiconductor company focused on CMOS millimeter wave products for Radar.,Endiya Partners.,3000000.0,Venture - Series Unknown,2020,Early Stage
CHARGE+ZONE,2018,Gujarat,Transport,"Charge+Zone provides services in renewable energy solutions, product development, and software engineering company.",Mumbai Angels,3000000.0,Pre-series A,2020,Early Stage
Stones2milestones,2008,Gurugram,Education,Stones2milestones is India (Delhi) Based EdTech Company,"Menterra Venture Advisors, Emandi Sankara Rao",2000000.0,Bridge,2020,Established
Udacity,2011,California,Education,"Udacity develops an online learning platform offering programs in artificial intelligence, machine learning, and robotics sector.","Hercules Capital, Inc.Bertelsmann",75000000.0,Debt,2020,Established
AjnaLens,2014,Thane,Technology,"AjnaLens develops AR/VR wearables primarily for the Defence, Education and enterprise customers.","Mohsin Hani Al Bahrani, MoD",1000000.0,Bridge,2020,Established
Gully Network,2019,Bangalore,Commerce,Gully Network is a tech-enabled network of mid-sized grocery stores.,"CP Ventures, Orios Venture Partners",1200000.0,Pre-series A,2020,Early Stage
TurboHire,2018,Hyderabad,Business,Talent Intelligence Platform for enterprises that helps recruiters discover the right candidates for a job using a Human-like AI,"Kia Ora Ventures, Pentathlon Ventures",1000000.0,Seed,2020,Early Stage
Traya,2016,Mumbai,Health,work with our customers closely to get their hair health sorted for long-term effective results,"Kae Capital, Whiteboard Capital",3000000.0,Seed,2020,Early Stage
Charcoal Eats,2015,Mumbai,Hospitality,"In the last five years, have served over 1.5 million orders and enjoy high customer satisfaction.",Lokmat Investments,2000000.0,Venture - Series Unknown,2020,Established
Mitron TV,2020,Bangalore,Media & Entertainment,Mitron is a free short videoplatform for next generation,9Unicorns,3000000.0,Venture - Series Unknown,2020,Early Stage
Svami,2016,Mumbai,Transport,Svami is the result of three seasoned drinkers extending their love for libations to the larger world of drinks.,"Niren Shah, Rukam Capital Trust",800000.0,Venture - Series Unknown,2020,Early Stage
Dhurnia,2018,Dhingsara,Education,Developer of an online learning platform intended for various competitive exam preparations.,"Chandigarh Angels Network, Modulor Capital",100000.0,Venture - Series Unknown,2020,Early Stage
Expertrons,2019,Mumbai,Education,Expertrons is an AI video bot platform created to help students and professionals prepare for interviews.,"Rohit Chanana, Sukanta Ganguly",3000000.0,Venture - Series Unknown,2020,Early Stage
Leena AI,2015,New York,Technology,Leena AI offers a human resource management platform that transforms employee experience with conversational AI.,"Alan Patricof, Jim Moffatt",8000000.0,Venture - Series Unknown,2020,Established
Bizlog,2016,Bangalore,Transport,Bizlog Value Chain enables re-commerce and circular economy through unique REVERSE LOGISTICS engine.,IAN Fund,1000000.0,Venture - Series Unknown,2020,Early Stage
Tamasha.live,2020,Mumbai,Manufacturing,"Tamasha offers a platform for influencers to host live, video based, real money contests and games.","9Unicorns, Titan Capital, FirstCheque",300000.0,Venture - Series Unknown,2020,Early Stage
Fedo,2017,Bangalore,Technology,Artificial Intelligence based Credit Score for Health,AIM Smart City,1000000.0,Venture - Series Unknown,2020,Early Stage
FabHotels,2015,Gurugram,Hospitality,Fabhotels is the online aggregator for hotel rooms. It aims to provide standardized services at economical budgets.,"RB Investments Pte. Ltd, Goldman Sachs",1000000.0,Venture - Series Unknown,2020,Established
Freshokartz,2016,Jaipur,Agriculture,"Freshokartz provides soil data based crop and fertilisers recommendation to farmers and delivery seeds, pesticides","Rajasthan Venture Capital Fund, Innovana Thinklabs",1000000.0,Pre-series A,2020,Early Stage
FlexiLoans,2016,Mumbai,Technology,"an online lending platform started with an endeavour to solve the problem that SMEs face in accessing Quick, Flexible and Adequate funds for growing their Businesses.",>Vikram Sud,6000000.0,Debt,2020,Early Stage
Agrix,2020,Patna,Agriculture,"Farming-as-a-service (covering farm machinery and agri input services) and provides market linkages, especially for fragmented farm owners.",Maple Capital Advisors,3000000.0,Venture - Series Unknown,2020,Early Stage
BharatAgri,2017,Pune,Agriculture,A Smart Farming Technology Platform for Indian Farmers,"021 Capital, India Quotient",3000000.0,Pre-series A,2020,Early Stage
FreshtoHome,2015,Bangalore,Commerce,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,"Ascent Capital, Iron Pillar",121000000.0,Series C,2020,Established
Credable,2017,Mumbai,Technology,CredAble provides working capital & supply chain finance programs for large enterprises and their suppliers and distributors.,Oaks Asset Management,4500000.0,Venture - Series Unknown,2020,Early Stage
Railofy,2019,Mumbai,Transport,Railofy is a WL & RAC protection that enables waitlisted passengers to reach their destination at the lowest possible price.,"Roots Ventures, Better Capital",5000000.0,Seed,2020,Early Stage
Finova Capital,2016,Jaipur,Technology,Finova Capital is a non-banking financial company.,"Sequoia Capital India, Faering Capital",55000000.0,Venture - Series Unknown,2020,Early Stage
Teachmint,2020,Bangalore,Education,Teachmint is an easy to use platform for tutors to conduct unlimited live classes and manage their classrooms,Lightspeed India,3500000.0,Seed,2020,Early Stage
Peel-Works,2010,Mumbai,Commerce,Peel-Works is a tech and data analytics company specializing in e-commerce for corner stores.,"CESC Ventures, Brun Raschle",3000000.0,Venture - Series Unknown,2020,Established
Janani,2020,Bangalore,Technology,Janani aims to make the process of infertility treatment and assisted fertilisation easier,9Unicorns,200000.0,Pre-seed,2020,Early Stage
Credgenics,2018,Gurugram,Technology,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction","Accel, Sunder Nookala",3300000.0,Seed,2020,Early Stage
Finelistings,2015,New Delhi,Manufacturing,A Used Luxury Car Marketplace,Justdial,3000000.0,Venture - Series Unknown,2020,Established
Wellversed,2018,New Delhi,Health,Wellversed Health enables production of customised clinical food products specific to health requirements of a demography or an individual.,"KLUB Works, Shankar Narayanan",3000000.0,Pre-series A,2020,Early Stage
Jumbotail,2015,Bangalore,Commerce,"Jumbotail is solving an important problem of organising food and grocery ecosystem in India through technology, data science and design.",Nexus Venture Partners and 23 High Networth Individuals (HNIs),11000000.0,Series B2,2020,Established
Winzo,2018,New Delhi,Manufacturing,WinZO is a mobile e-sports social gaming platform that offers monetary benefits and prizes to players.,"Makers Fund, Courtside Ventures",2000000.0,Venture - Series Unknown,2020,Early Stage
mCaffeine,2015,Mumbai,Beauty & Fashion,"MCaffeine is a personal care brand that offers caffein-infused face, body, and hair care products.","RPSG Ventures, Amicus Capital",5000000.0,Series B,2020,Established
Pocket FM,2018,Bangalore,Commerce,Pocket FM is an audiobook & podcast app that brings you over 10K+ popular audiobooks.,"Times Group, Lightspeed",5000000.0,Series A,2020,Early Stage
Snackible,2015,Mumbai,Health,Snackible operates a health-food production company designed to sell healthy snack food via online and offline channels.,"Mumbai Angels, Murali Nair",3000000.0,Bridge,2020,Established
FreshtoHome,2015,Bangalore,Commerce,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,"Ascent Capital, Iron Pillar",16000000.0,Venture - Series Unknown,2020,Established
Jumbotail,2015,Bangalore,Commerce,Jumbotail is solving an important problem of organising food and grocery ecosystem in India,"Nexus Venture Partners, Capria Ventures",11000000.0,Series B2,2020,Established
Nykaa,2012,Mumbai,Commerce,Nykaa is an online marketplace for different beauty and wellness products.,"Katrina Kaif, Steadview Capital",3000000.0,Venture - Series Unknown,2020,Established
TagZ Foods,2019,Bangalore,Food & Beverages,TagZ Foods is a supplier of snacks and food products.,"Exfinity Venture Partners, Shesh Kondi",3000000.0,Venture - Series Unknown,2020,Early Stage
Genius Teacher,2016,Mumbai,Education,"Genius Teacher creates engaging educational content, delivers fun learning experience to the students","Sandeep Tandon, Daniel Lapus",2000000.0,Venture - Series Unknown,2020,Early Stage
Krimanshi Feeds,2015,Jodhpur,Health,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,"Rajasthan Venture Capital Fund, AIM Smart City",500000.0,Venture - Series Unknown,2020,Established
Origo,2010,Gurugram,Agriculture,Provider of marketing and warehousing services for agricultural commodities.,Northern Arc Capital,4000000.0,Debt,2020,Established
GetVantage,2019,Mumbai,Technology,GetVantage is India and Southeast Asia's first fintech enabled Revenue-based financing platform.,"Samyakth Capital, Venture Catalysts",5000000.0,Seed,2020,Early Stage
Betterplace,2015,Bangalore,Technology,Developer of a digital verification platform designed to manage the semi-formal workforce.,Jungle Ventures,10000000.0,Series B,2020,Established
Biddano,2016,Mumbai,Health,India's 1st tech-enabled healthcare logistics platform.,Windrose Capital,600000.0,Pre-series A,2020,Early Stage
InVideo,2017,Mumbai,Media & Entertainment,InVideo enables you to transform your content into great videos.,"Base Partners, Sequoia Capital India",15000000.0,Series A,2020,Early Stage
Arzooo,2016,Bangalore,Commerce,"Retail tech platform empowering 300,000+ small retailers in electronics space to compete with big organised players and increase sales","3Lines, Jabbar Internet Group",7500000.0,Series A,2020,Early Stage
Hubilo,2020,San Francisco,Technology,World’s smartest virtual event platform that brings Experience & Intelligence together,"Nishant Rao, Jonathan Boutelle",4500000.0,Seed,2020,Early Stage
BASIC Home Loan,2020,Gurugram,Technology,"A platform for automating home loans for middle and low-income households in India,",Picus Capital,5000000.0,Seed,2020,Early Stage
Ketos,2015,San Francisco,Technology,KETOS provides hardware and software analytics solutions and real-time data for usage and flow across water systems.,"Citi Ventures, Illuminated Funds Group",18000000.0,Venture - Series Unknown,2020,Established
SUGAR cosmetics,2012,Mumbai,Beauty & Fashion,It is a cruelty-free makeup brand providing cosmetics that is high on style and higher on performance.,"A91 Partners, RB Investments Pte. Ltd",2000000.0,Debt,2020,Established
Signzy,2015,Bangalore,Technology,It is creating 'building blocks for a Digital Trust system.,"GenNext Ventures, Contrarian Drishti Partners",5400000.0,Venture - Series Unknown,2020,Established
Ahaguru,2012,Chennai,Education,"It is conducting IIT JEE Coach for Physics, Math and Chemistry easily.",Anand Mahindra,3000000.0,Series A,2020,Established
